Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\widehat\zeta_W^{blk}$,$\widehat\zeta_S^{blk}$,Block coverage,Violation mean,Violation $\hat z$,$p_{post}(WST)$,$p_{post}(SST)$
WST,4,kappa_5,hetero,1,DC-SBM,1.000,0.250,1.000,0.371,0.327,--,--
WST,4,kappa_5,hetero,1,SST,1.000,0.250,1.000,0.252,0.327,--,--
WST,4,kappa_5,hetero,1,WST,1.000,0.250,1.000,0.252,0.327,--,--
WST,4,kappa_5,hetero,2,DC-SBM,1.000,0.500,0.500,0.128,0.122,--,--
WST,4,kappa_5,hetero,2,SST,1.000,0.500,0.500,0.128,0.122,--,--
WST,4,kappa_5,hetero,2,WST,1.000,0.500,0.500,0.123,0.122,--,--
