Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),$|z|_{WST-SST}$,ELPD WST$-$DC (SE),$|z|_{WST-DC}$,ELPD SST$-$DC (SE),$|z|_{SST-DC}$,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
WST,4,kappa_5,hetero,1,185.6 (20.1),9.22,-0.8 (2.2),0.37,-186.4 (21.2),8.79,0.000,0.000,0.000,4/4/4
WST,4,kappa_5,hetero,2,190.5 (23.3),8.19,-5.3 (2.8),1.87,-195.8 (23.9),8.19,0.000,0.000,0.000,4/4/4
