"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",1,1,1,1.585,5195.05,NA,163.1
"SST",NA,NA,NA,NA,NA,NA,4.9
"DCSBM",3,3,1,0,4751.24,0.308,54.1
