Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|/SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,4,kappa_5,verystrong,1,SST,-2253.0 (31.2),-42.0 (11.3),3.70,4506.0,0.02,
SST,4,kappa_5,verystrong,1,DC-SBM,-2235.1 (30.9),-24.1 (8.8),2.74,4470.3,0.01,
SST,4,kappa_5,verystrong,1,WST,-2211.0 (28.8),0.0 (0.0),--,4422.0,0.00,\checkmark
SST,4,kappa_5,verystrong,2,SST,-2252.4 (31.3),-40.9 (11.5),3.55,4504.9,0.01,
SST,4,kappa_5,verystrong,2,DC-SBM,-2234.3 (30.9),-22.7 (8.9),2.55,4468.5,0.01,
SST,4,kappa_5,verystrong,2,WST,-2211.6 (28.7),0.0 (0.0),--,4423.1,0.00,\checkmark
