Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),$|z|_{WST-SST}$,ELPD WST$-$DC (SE),$|z|_{WST-DC}$,ELPD SST$-$DC (SE),$|z|_{SST-DC}$,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
SST,4,kappa_5,verystrong,1,42.0 (11.3),3.70,24.1 (8.8),2.74,-17.9 (7.3),2.46,0.000,0.369,0.137,4/3/3
SST,4,kappa_5,verystrong,2,40.9 (11.5),3.55,22.7 (8.9),2.55,-18.2 (7.1),2.55,0.000,0.369,0.137,4/3/3
