source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,0,382,4.058134071564988,3.0913792439531926,1.3127260524579083,FALSE,0.010623387621897866,0.612565445026178,0.37172774869109937,0.37172774869109937,-0.06282722513088997
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,352,1.6610773747529333,3.012549523720797,0.5513859147123126,FALSE,0.004718969814639008,0.5625,0.21590909090909094,0.21590909090909094,-0.01704545454545454
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,2,394,9.792311311852979,4.627520766628832,2.116103158838273,TRUE,0.024853582009779142,0.5,0.48223350253807135,0.48223350253807135,0.06091370558375577
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,3,411,6.7493933699272235,2.807376162901426,2.404164236741156,TRUE,0.016421881678654982,0.5985401459854015,0.17518248175182494,0.17518248175182494,-0.03892944038929445
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,4,197,0.9214117221604998,2.460296002134772,0.37451254701101044,FALSE,0.0046772168637588705,0.467005076142132,0.37055837563451766,0.37055837563451766,-0.015228426395938953
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,5,212,4.0393431859192646,2.002076450094177,2.0175768940937573,TRUE,0.019053505593958815,0.6273584905660378,0.19811320754716977,0.19811320754716977,0
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,6,44,1.03043923528383,0.7730635941520753,1.3329294550651476,FALSE,0.023419073529177964,0.5909090909090909,0.34090909090909094,0.34090909090909094,0.20454545454545456
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,7,24,2.1924382310418964,0.5430023079728913,4.037622306296626,TRUE,0.09135159296007901,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,0,382,7.151462032536603,3.304235473391757,2.164331837160417,TRUE,0.018721104797216247,0.6073298429319371,0.37172774869109937,0.37172774869109937,-0.06282722513088997
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,1,352,3.3456285754574724,2.885506099193903,1.1594598869127704,FALSE,0.009504626634822363,0.5596590909090909,0.21590909090909094,0.21590909090909094,-0.01704545454545454
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,2,394,12.892958869615951,4.478515980477101,2.8788462351858013,TRUE,0.03272324586196944,0.43147208121827413,0.48223350253807135,0.48223350253807135,0.06091370558375577
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,3,411,2.9493423234937977,2.215704984390214,1.3311078615032716,FALSE,0.007176015385629713,0.6131386861313869,0.17518248175182494,0.17518248175182494,-0.03892944038929445
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,4,197,0.791332353644385,2.5249018450028013,0.31341113525286646,FALSE,0.004016915500732908,0.39086294416243655,0.37055837563451766,0.37055837563451766,-0.015228426395938953
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,5,212,-0.2659168167287897,2.197255905182992,0.12102223327812316,FALSE,-0.0012543246072112821,0.6886792452830188,0.19811320754716977,0.19811320754716977,0
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,6,44,-0.9228056291802402,0.8434184717095894,1.0941254669342668,FALSE,-0.020972855208641825,0.4772727272727273,0.34090909090909094,0.34090909090909094,0.20454545454545456
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_DC,7,24,2.130826292579182,0.7141261910011811,2.983823194597911,TRUE,0.08878442885746593,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,0,382,3.0933279609716164,1.4444001836923346,2.1416003652561932,TRUE,0.008097717175318365,0.5785340314136126,0.37172774869109937,0.37172774869109937,-0.06282722513088997
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,1,352,1.6845512007045362,1.5279185577513124,1.1025137381561392,FALSE,0.004785656820183335,0.5596590909090909,0.21590909090909094,0.21590909090909094,-0.01704545454545454
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,2,394,3.1006475577629615,2.4801380593804834,1.2501915149584357,FALSE,0.00786966385219026,0.38578680203045684,0.48223350253807135,0.48223350253807135,0.06091370558375577
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,3,411,-3.800051046433435,2.1501599904405957,1.7673340883134727,FALSE,-0.009245866293025387,0.44525547445255476,0.17518248175182494,0.17518248175182494,-0.03892944038929445
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,4,197,-0.13007936851611815,2.1724789690744397,0.05987600817674981,FALSE,-6.603013630259851e-4,0.4467005076142132,0.37055837563451766,0.37055837563451766,-0.015228426395938953
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,5,212,-4.305260002648049,1.237210744112548,3.4798113604616447,TRUE,-0.020307830201170038,0.6886792452830188,0.19811320754716977,0.19811320754716977,0
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,6,44,-1.9532448644640714,0.8033416836539632,2.431399869081641,TRUE,-0.04439192873781981,0.4772727272727273,0.34090909090909094,0.34090909090909094,0.20454545454545456
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,WST_minus_SST,7,24,-0.06161193846271612,0.24047346407935477,0.256210965723788,FALSE,-0.002567164102613172,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,0,294,-3.8679698041466652,2.4415489298103945,1.584227846888591,FALSE,-0.013156359878049868,0.6224489795918368,0.360544217687075,0.360544217687075,0.01360544217687074
loo_pointwise_rep001_WST_appSparse_WST_K8_kappa_0.25_app_sparse_seed1002.csv,WST,8,kappa_0.25,app_sparse,1,WST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,490,-5.956555504437569,2.9251493854132637,2.03632523321404,TRUE,-0.01215623572334197,0.7,0.26326530612244903,0.26326530612244903,0.0469387755102041
