source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,6,8,6-8,2,160,8.714092116067606,3.827829079351907,2.276510245212672,TRUE,0.05446307572542255,0.44375,0.5375,0.34375,0.19375,0.5375,0.14999999999999988
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,6,1-6,5,60,5.562597613461031,1.6062886385781403,3.463012487210859,TRUE,0.0927099602243505,0.6,0.25,0.03333333333333331,0.21666666666666662,0.25,-0.18333333333333335
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,3,6,3-6,3,340,5.149060036688075,1.5950482211171446,3.228153210993058,TRUE,0.01514429422555317,0.5911764705882353,0.13235294117647042,0.04411764705882355,0.08823529411764715,0.13235294117647042,-0.04411764705882362
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,6,6,6-6,0,190,4.806214763546443,2.4385562897167024,1.9709263156294832,FALSE,0.025295867176560224,0.8,0.16315789473684214,0.07894736842105261,0.08421052631578949,0.16315789473684214,-0.005263157894736853
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,3,3,3-3,0,136,-3.1236737113515116,0.7524144767201052,4.1515332413168125,TRUE,-0.022968189054055232,0.3014705882352941,0.7352941176470588,0.2720588235294118,0.463235294117647,0.7352941176470588,-0.19117647058823523
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,4,1-4,3,15,2.4149919253439984,2.0108084541842466,1.2010054564464832,FALSE,0.16099946168959992,0.8,0.5333333333333334,0.06666666666666668,0.4666666666666666,0.5333333333333334,-0.4
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,2,1-2,1,12,2.2924361452509845,0.6637106850846001,3.4539690210935485,TRUE,0.19103634543758202,1,0.16666666666666669,0.08333333333333333,0.08333333333333331,0.16666666666666669,0
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,1,8,1-8,7,24,2.1924382310418964,0.5430023079728913,4.037622306296626,TRUE,0.09135159296007901,0.9583333333333334,0.041666666666666664,0.041666666666666664,0,0.041666666666666664,0.041666666666666664
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,3,4,3-4,1,85,-2.001496187261236,0.6278484617585193,3.1878650807797055,TRUE,-0.023547013967779255,0.17647058823529413,0.21176470588235294,0.09411764705882349,0.1176470588235294,0.21176470588235294,-0.02352941176470592
loo_pointwise_rep001_SST_appSparse_SST_K8_kappa_0.25_app_sparse_seed1001.csv,SST,8,kappa_0.25,app_sparse,1,SST_appSparse,2.1959442631574,OCRP_MIN,SST_minus_DC,8,8,8-8,0,28,1.9591692130934422,1.4584010878572078,1.343367904347905,FALSE,0.0699703290390515,0.8928571428571429,0.10714285714285714,0.03571428571428572,0.07142857142857144,0.10714285714285714,-0.03571428571428572
