"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2,0.4498,2.1442,16783.71,0.478,441.4
"SST",3,3,0.5556,0.8353,14642.3,0.51,214.5
"DCSBM",3,3,1,0,12616.91,0.568,56.9
