"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2,0.5621,3.179,13940.37,0.496,434.7
"SST",2,2,0.5796,3.107,13930.98,0.479,226.4
"DCSBM",1,1,1,2.585,13931.88,NA,27.1
