Gen,$K^\star$,Density,Hierarchy,Model,Reps,ELPD mean (SD),$\Delta$ELPD mean (SD),Sig. loss,ELPD wins,mean VI,mean $\hat K$,mean PSIS $k>0.7$
SST,4,kappa_5,strong,WST,3,-3607.8 (163.5),-3.9 (1.3),1/3,0/3,0.000,4.00,0.000
SST,4,kappa_5,strong,DC-SBM,3,-3604.5 (163.6),-0.7 (1.1),0/3,2/3,0.000,4.00,0.000
SST,4,kappa_5,strong,SST,3,-3604.0 (164.9),-0.1 (0.1),0/3,1/3,0.000,4.00,0.000
WST,4,kappa_5,strong,SST,3,-3337.7 (364.0),-174.4 (170.7),3/3,0/3,0.000,4.00,0.001
WST,4,kappa_5,strong,WST,3,-3169.2 (194.6),-6.0 (0.4),1/3,0/3,0.000,4.00,0.000
WST,4,kappa_5,strong,DC-SBM,3,-3163.3 (194.3),0.0 (0.0),0/3,3/3,0.000,4.00,0.000
