dataset,K_modal,draws,n_triples,delta_mean,delta_lo,delta_hi,triple_min,triple_max,pct_triples_neg,dataset_label,x_order
moreno_sheep,6,1299,20,-1.0212744472135844,-1.6202935962719107,-0.34619208109207344,-1.981542341937929,-0.3242072735347751,1,Bighorn sheep,1
strauss_2019b,13,1768,286,-0.8988999375814563,-1.0802324623963766,-0.7152281831600711,-1.7875578855991612,-0.18857775377999852,1,Spotted hyenas,2
mountain_goats,4,1883,4,-2.2243823413182735,-3.1243223739921633,-1.2235536025402043,-2.3451858994052186,-2.103578783231327,1,Mountain goats,3
macaques_data,10,1676,120,-1.6827362133964099,-2.0241199444858724,-1.3314086406903587,-3.989465456618623,0.2901901607352383,0.9916666666666667,Macaques,4
citations_data,13,2291,286,-0.38809623563113854,-0.5276320560645638,-0.2604725334425281,-0.7044158218702258,0.024160631759543416,0.9895104895104895,Stat. journals,5
high_school,9,1273,84,-0.5229018566380038,-0.7745963347442907,-0.29278287818815685,-0.6261677721545499,-0.46295845298255883,1,High school,6
