source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,8,1-8,7,24,1.835878449403089,1.378240031772064,1.3320455124515713,FALSE,0.07649493539179536,0.8333333333333334,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,1,1-1,0,3,1.8341366962436978,0.7919105579106711,2.3160907225214586,TRUE,0.6113788987478993,1,1.6666666666666667,0.6666666666666666,1,1.6666666666666667,-0.33333333333333337
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,2,6,2-6,4,80,-1.7993228245765893,1.598618940763654,1.1255482959041259,FALSE,-0.02249153530720737,0.7875,0.9750000000000001,0.3125,0.6625,0.9750000000000001,-0.3500000000000001
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,4,5,4-5,1,15,-1.6908253806752889,0.7168360752721669,2.35873366171383,TRUE,-0.11272169204501926,0.13333333333333333,0.6666666666666667,0.4,0.26666666666666666,0.6666666666666667,0.13333333333333336
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,3,4,3-4,1,85,-1.5050181642319376,3.4557584331796725,0.43551023410139167,FALSE,-0.017706096049787515,0.35294117647058826,0.4705882352941176,0.1529411764705883,0.31764705882352945,0.4705882352941176,-0.16470588235294117
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,7,7,7-7,0,6,1.2935105884359408,0.5956229950891491,2.1716935026028272,TRUE,0.21558509807265683,0.8333333333333334,0.16666666666666669,0.16666666666666669,0,0.16666666666666669,0.16666666666666669
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,6,7,6-7,1,80,-1.266192977077699,0.416499684112727,3.0400814823547377,TRUE,-0.015827412213471243,0.3125,0.4375,0.25,0.1875,0.4375,0.0625
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,7,1-7,6,12,-0.9025926095961471,0.7001994648419385,1.289050699003171,FALSE,-0.07521605079967891,0.4166666666666667,0.75,0.41666666666666663,0.33333333333333337,0.75,0.08333333333333329
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,4,7,4-7,3,20,0.8991746318854497,1.3816560381453649,0.6507948483997773,FALSE,0.04495873159427248,0.45,1.45,1,0.45,1.45,0.5500000000000002
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,5,5,5-5,0,3,0.8828597498194309,0.10668141679471312,8.275665775214783,TRUE,0.29428658327314366,1,0,0,0,0,0
